Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,1,Cédric,4.4,4.4,Arsenal,3,0.11,6,0.23,5,0.21,9,0.32,6,0.27
G,2,Leno,4.5,4.5,Fulham,34,1.35,54,1.89,73,2.84,86,2.98,75,2.67
M,3,Xhaka,5.0,5.0,Arsenal,78,3.06,73,3.15,66,2.68,68,2.35,74,3.10
M,4,Elneny,4.5,4.5,Arsenal,7,0.32,5,0.21,14,0.56,9,0.33,8,0.34
D,5,Holding,4.4,4.4,Arsenal,7,0.27,8,0.35,5,0.21,5,0.16,4,0.15
M,6,Partey,5.0,5.0,Arsenal,82,2.90,82,3.13,76,2.75,72,2.29,76,2.87
M,7,Ødegaard,6.5,6.5,Arsenal,70,3.38,72,3.88,68,3.43,71,2.99,72,3.69
D,8,Tierney,5.0,5.0,Arsenal,28,1.42,53,2.87,57,2.80,51,1.87,41,2.19
M,9,Pépé,5.4,5.4,Arsenal,10,0.73,6,0.47,8,0.59,13,0.79,12,0.94
D,10,White,4.5,4.5,Arsenal,71,3.00,67,3.14,59,2.52,65,2.05,66,2.99
F,11,Nketiah,6.9,6.9,Arsenal,34,2.08,32,2.29,24,1.68,26,1.50,32,2.25
M,12,Smith Rowe,5.9,5.9,Arsenal,18,1.28,18,1.33,21,1.43,25,1.44,28,1.91
M,13,Saka,8.0,8.0,Arsenal,76,4.82,77,5.50,74,4.88,74,3.96,72,4.92
D,14,Tomiyasu,4.4,4.4,Arsenal,41,1.96,54,2.80,69,3.27,70,2.44,68,3.43
G,15,Ramsdale,5.0,5.0,Arsenal,89,3.84,89,4.07,87,3.77,84,3.23,83,3.77
D,16,Gabriel,5.0,5.0,Arsenal,82,4.17,77,4.44,73,3.80,69,2.66,72,4.01
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,8,0.38,8,0.38,7,0.33,5,0.20,7,0.34
M,19,Martinelli,6.2,6.1,Arsenal,75,4.47,74,4.99,73,4.62,70,3.63,69,4.54
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.9,4.9,Arsenal,2,0.16,1,0.09,0,0.02,2,0.12,2,0.17
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,24,Turner,4.0,4.0,Arsenal,2,0.07,1,0.03,2,0.07,5,0.19,5,0.24
M,25,Fábio Vieira,5.9,5.9,Arsenal,5,0.32,6,0.40,17,1.06,18,0.92,19,1.19
D,26,Saliba,4.5,4.5,Arsenal,77,3.45,70,3.49,69,3.15,64,2.16,65,3.15
M,27,Marquinhos,4.9,4.9,Arsenal,1,0.09,1,0.09,1,0.05,1,0.07,0,0.02
F,28,Jesus,8.0,8.0,Arsenal,80,4.95,77,5.32,76,4.93,76,4.01,75,4.96
M,29,Coutinho,7.0,7.0,Aston Villa,45,2.27,64,3.46,61,2.65,62,2.59,63,3.02
F,30,Ings,7.0,7.0,Aston Villa,57,3.21,52,3.32,46,2.34,42,2.11,45,2.53
G,31,Martínez,5.0,5.0,Aston Villa,90,3.39,87,3.43,86,2.95,85,2.90,84,3.05
D,32,Chambers,4.5,4.5,Aston Villa,25,0.83,16,0.58,16,0.42,8,0.18,12,0.38
D,33,Digne,5.0,5.0,Aston Villa,84,2.89,77,3.13,79,2.02,77,1.73,70,2.27
M,34,Traoré,5.0,5.0,Aston Villa,5,0.37,8,0.59,9,0.53,10,0.56,10,0.62
G,35,Olsen,4.0,4.0,Aston Villa,0,0.01,3,0.10,5,0.16,5,0.16,6,0.22
M,36,Sanson,4.5,4.5,Aston Villa,6,0.31,7,0.37,9,0.43,8,0.37,8,0.38
M,37,McGinn,5.5,5.5,Aston Villa,79,2.44,77,2.55,70,2.01,76,2.08,74,2.23
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,1,0.02,1,0.03,5,0.14,4,0.14
D,39,Mings,4.5,4.5,Aston Villa,78,2.38,72,2.52,70,1.58,59,1.16,54,1.52
F,40,Watkins,7.4,7.4,Aston Villa,82,3.77,85,4.37,79,3.18,81,3.13,77,3.47
M,41,Nakamba,4.5,4.5,Aston Villa,6,0.28,4,0.24,10,0.43,9,0.41,8,0.35
M,42,Buendía,6.0,6.0,Aston Villa,39,1.76,36,1.74,38,1.54,39,1.51,40,1.73
D,43,Cash,5.0,5.0,Aston Villa,67,2.16,77,2.89,80,1.91,84,1.68,79,2.34
D,44,Konsa,4.5,4.5,Aston Villa,76,2.43,44,1.69,37,0.99,35,0.83,36,1.15
M,45,Bailey,5.0,5.0,Aston Villa,44,2.10,36,1.93,39,1.69,40,1.69,38,1.81
M,46,Douglas Luiz,4.9,4.9,Aston Villa,30,1.06,26,1.00,34,1.12,33,1.05,29,1.03
M,47,Ramsey,5.5,5.5,Aston Villa,54,2.06,54,2.18,43,1.57,47,1.64,52,1.92
M,48,Chukwuemeka,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,49,Iroegbunam,4.5,4.5,Aston Villa,1,0.03,0,0.01,1,0.05,2,0.09,3,0.15
D,50,Diego Carlos,5.0,5.0,Aston Villa,15,0.50,52,1.91,61,1.45,75,1.53,80,2.30
M,51,El Ghazi,4.9,4.9,Aston Villa,0,0.00,0,0.00,1,0.04,0,0.01,0,0.03
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,5.0,5.0,Aston Villa,68,2.02,72,2.22,73,1.99,66,1.77,68,1.98
F,54,Archer,4.5,4.5,Aston Villa,18,0.92,16,0.90,23,1.02,20,0.88,21,1.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,4.0,4.0,Aston Villa,10,0.35,10,0.36,6,0.17,4,0.12,6,0.20
D,57,Smith,4.5,4.5,Bournemouth,78,2.06,71,0.80,65,2.41,59,2.09,50,1.72
M,58,Stanislas,4.9,4.9,Bournemouth,12,0.75,9,0.50,13,0.89,12,0.81,14,0.94
D,59,Fredericks,4.5,4.5,Bournemouth,1,0.04,15,0.27,27,1.10,30,1.19,47,1.73
M,60,Brooks,5.5,5.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,61,Lowe,5.4,5.4,Bournemouth,13,0.77,4,0.22,9,0.59,8,0.48,14,0.86
F,62,Moore,5.5,5.5,Bournemouth,47,2.06,34,1.23,23,1.17,28,1.41,25,1.20
M,63,Marcondes,5.0,5.0,Bournemouth,4,0.25,6,0.31,5,0.29,8,0.44,7,0.39
M,64,Lerma,5.0,5.0,Bournemouth,78,2.44,69,1.84,73,2.55,72,2.45,69,2.31
D,65,Stacey,4.5,4.5,Bournemouth,29,0.82,12,0.18,15,0.56,17,0.59,21,0.74
F,66,Solanke,6.0,6.0,Bournemouth,53,2.36,76,2.64,74,3.95,72,3.65,70,3.49
M,67,Cook,5.0,5.0,Bournemouth,46,1.52,50,1.45,52,1.81,48,1.67,45,1.56
M,68,Pearson,4.5,4.5,Bournemouth,43,1.43,44,1.29,38,1.40,36,1.33,37,1.33
M,69,Christie,5.5,5.5,Bournemouth,38,1.61,50,1.65,49,2.24,46,2.06,37,1.70
M,70,Billing,5.5,5.5,Bournemouth,49,1.93,51,1.62,56,2.44,59,2.48,56,2.29
D,71,Mepham,4.5,4.5,Bournemouth,77,1.85,57,0.60,66,2.25,60,1.94,67,2.08
G,72,Travers,4.5,4.5,Bournemouth,75,2.65,75,2.60,72,2.84,70,2.69,67,2.55
D,73,Kelly,4.5,4.5,Bournemouth,82,1.91,82,0.72,77,2.56,72,2.27,73,2.19
M,74,Dembélé,5.0,5.0,Bournemouth,13,0.66,8,0.34,10,0.57,12,0.64,16,0.83
M,75,Anthony,5.4,5.4,Bournemouth,26,1.25,33,1.25,31,1.58,33,1.64,39,1.84
D,76,Zemura,4.5,4.5,Bournemouth,62,1.65,81,0.85,67,2.47,73,2.58,62,2.05
G,77,Dennis,4.0,4.0,Bournemouth,0,0.00,0,0.00,2,0.06,0,0.00,0,0.00
D,78,Jansson,4.5,4.5,Brentford,87,2.88,81,3.16,78,2.25,81,2.97,61,1.95
M,79,Nørgaard,5.5,5.5,Brentford,77,2.57,79,2.79,74,2.35,77,2.70,68,2.28
F,80,Toney,7.0,7.0,Brentford,87,4.52,83,4.79,82,3.90,83,4.77,79,4.07
G,81,Raya,4.5,4.5,Brentford,89,3.55,88,3.71,87,3.31,86,3.54,85,3.29
D,82,Canós,5.0,5.0,Brentford,2,0.18,11,0.65,12,0.62,15,0.91,12,0.65
M,83,Dasilva,4.6,4.5,Brentford,64,2.54,62,2.66,62,2.32,61,2.62,61,2.37
D,84,Ajer,4.5,4.5,Brentford,9,0.34,18,0.80,28,0.95,34,1.43,30,1.09
D,85,Henry,4.5,4.5,Brentford,80,2.98,73,3.24,74,2.43,68,2.84,72,2.60
M,86,Janelt,5.5,5.5,Brentford,74,2.69,69,2.74,65,2.28,59,2.34,70,2.53
M,87,Ghoddos,5.0,5.0,Brentford,5,0.31,8,0.45,9,0.43,9,0.51,11,0.57
M,88,Jensen,5.0,5.0,Brentford,58,2.48,58,2.66,62,2.45,57,2.58,60,2.48
M,89,Wissa,5.5,5.5,Brentford,46,2.43,38,2.29,32,1.67,35,2.10,37,2.00
D,90,Roerslev,4.5,4.5,Brentford,28,0.98,36,1.48,34,1.07,15,0.59,16,0.54
D,91,Bech,4.5,4.5,Brentford,29,1.08,24,1.01,21,0.69,21,0.83,13,0.44
D,92,Pinnock,4.5,4.5,Brentford,0,0.00,3,0.13,10,0.32,31,1.18,52,1.69
M,93,Onyeka,5.0,5.0,Brentford,21,0.92,18,0.83,18,0.77,30,1.30,20,0.86
M,94,Baptiste,4.5,4.5,Brentford,7,0.40,7,0.42,10,0.47,13,0.61,16,0.75
F,95,Mbeumo,6.0,6.0,Brentford,74,3.08,70,3.17,67,2.65,70,3.15,68,2.87
D,96,Goode,4.0,4.0,Brentford,0,0.01,1,0.03,0,0.02,2,0.09,1,0.04
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,5.0,5.0,Brighton,43,1.81,49,2.28,45,1.97,49,2.11,48,2.12
G,102,Steele,4.0,4.0,Brighton,0,0.01,0,0.00,5,0.19,3,0.12,6,0.25
F,103,Welbeck,6.5,6.5,Brighton,71,3.34,69,3.99,59,3.18,56,3.05,58,3.12
M,104,Groß,5.6,5.6,Brighton,74,3.55,68,4.03,66,3.54,66,3.60,66,3.63
D,105,Duffy,4.5,4.5,Fulham,35,1.29,40,0.79,35,1.16,42,0.79,50,1.15
D,106,Dunk,4.5,4.5,Brighton,85,2.63,89,3.80,82,3.19,80,3.15,79,3.30
M,107,March,5.0,5.0,Brighton,59,1.93,65,2.38,64,2.24,57,2.04,64,2.26
D,108,Webster,4.5,4.5,Brighton,85,2.68,81,3.57,79,3.15,83,3.28,79,3.32
D,109,Veltman,4.5,4.5,Brighton,74,2.19,74,3.02,76,2.80,76,2.81,76,2.98
F,110,Maupay,6.4,6.4,Brighton,41,1.91,31,1.76,42,2.19,41,2.18,39,2.02
M,111,Trossard,6.5,6.5,Brighton,77,3.09,69,3.49,70,3.31,71,3.47,70,3.42
D,112,Cucurella,5.0,5.0,Chelsea,75,3.31,75,3.57,74,3.42,72,3.46,69,3.31
G,113,Sánchez,4.5,4.5,Brighton,90,3.41,89,3.78,86,3.53,86,3.55,84,3.51
D,114,Lamptey,4.5,4.5,Brighton,43,1.63,40,2.00,43,1.96,38,1.74,41,1.95
M,115,Alzate,4.5,4.5,Brighton,6,0.38,15,0.75,10,0.52,9,0.48,14,0.68
M,116,Mac Allister,5.5,5.5,Brighton,78,2.64,69,2.82,78,2.93,72,2.77,69,2.65
M,117,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,118,Mwepu,5.5,5.5,Brighton,28,1.38,47,2.41,42,2.02,44,2.14,44,2.11
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.02,0,0.01,0,0.04,0,0.01
M,120,Caicedo,5.0,5.0,Brighton,78,2.49,72,2.67,68,2.42,74,2.58,70,2.48
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.5,5.5,Brighton,33,1.69,33,2.00,38,2.08,39,2.14,38,2.06
M,124,Mitoma,5.0,5.0,Brighton,6,0.26,6,0.28,7,0.33,11,0.50,9,0.40
F,125,Enciso,5.0,5.0,Brighton,6,0.30,7,0.42,8,0.45,9,0.51,9,0.47
M,126,Kozłowski,4.5,4.5,Brighton,0,0.01,1,0.07,2,0.07,2,0.08,3,0.16
D,127,Azpilicueta,5.0,5.0,Chelsea,62,2.71,65,3.06,53,2.41,54,2.54,63,2.99
D,128,Thiago Silva,5.5,5.5,Chelsea,74,3.15,75,3.45,78,3.43,74,3.37,76,3.48
D,129,Alonso,5.4,5.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,130,Jorginho,6.0,6.0,Chelsea,69,2.94,58,2.63,62,2.73,53,2.44,54,2.45
M,131,Barkley,5.0,5.0,Chelsea,2,0.15,2,0.12,1,0.06,4,0.22,4,0.25
M,132,Kovacic,5.0,5.0,Chelsea,2,0.07,18,0.80,22,0.93,31,1.34,37,1.56
G,133,Arrizabalaga,4.5,4.5,Chelsea,1,0.06,2,0.09,3,0.13,2,0.09,3,0.13
M,134,Kanté,5.0,5.0,Chelsea,68,2.56,64,2.53,57,2.23,60,2.38,67,2.60
M,135,Ziyech,5.9,5.9,Chelsea,15,0.93,11,0.73,15,0.94,22,1.38,19,1.18
M,136,Loftus-Cheek,5.0,5.0,Chelsea,22,0.94,18,0.80,20,0.89,22,0.95,16,0.71
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,138,Kenedy,4.0,4.0,Chelsea,1,0.07,2,0.19,2,0.20,2,0.23,1,0.14
D,139,Chilwell,6.0,6.0,Chelsea,53,2.80,39,2.29,41,2.28,52,2.96,50,2.84
M,140,Pulisic,6.0,6.0,Chelsea,23,1.33,28,1.70,30,1.72,37,2.15,25,1.49
D,141,Chalobah,4.9,4.9,Chelsea,13,0.56,22,1.05,26,1.25,22,1.10,25,1.23
M,142,Mount,8.0,8.0,Chelsea,77,4.47,75,4.66,71,4.23,67,4.18,65,3.97
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.4,5.4,Chelsea,8,0.46,8,0.47,7,0.42,13,0.77,16,0.94
F,145,Havertz,7.9,7.9,Chelsea,66,3.50,63,3.55,61,3.34,52,3.02,59,3.29
D,146,James,6.0,6.0,Chelsea,82,4.69,77,4.86,76,4.57,73,4.58,75,4.69
G,147,Mendy,5.0,5.0,Chelsea,89,3.73,88,3.81,85,3.67,88,3.82,85,3.73
M,148,Gallagher,5.9,5.9,Chelsea,21,0.92,19,0.88,24,1.10,19,0.90,19,0.88
M,149,Gilmour,4.5,4.5,Chelsea,2,0.09,7,0.32,7,0.31,5,0.23,2,0.10
F,150,Broja,5.5,5.5,Chelsea,16,1.02,11,0.71,21,1.26,16,1.05,20,1.26
D,151,Ampadu,4.5,4.5,Chelsea,4,0.14,3,0.09,6,0.22,3,0.10,4,0.13
G,152,Guaita,4.5,4.5,Crystal Palace,87,3.62,79,2.75,84,3.56,79,3.01,81,3.21
D,153,Tomkins,4.0,4.0,Crystal Palace,2,0.08,5,0.11,5,0.23,12,0.38,14,0.49
M,154,McArthur,5.0,5.0,Crystal Palace,0,0.00,9,0.30,11,0.47,20,0.76,42,1.54
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,156,Ward,4.5,4.5,Crystal Palace,17,0.61,18,0.27,23,0.90,27,0.81,20,0.67
D,157,Clyne,4.5,4.5,Crystal Palace,82,3.12,79,1.03,74,2.98,64,1.89,70,2.38
M,158,Milivojevic,4.5,4.5,Crystal Palace,13,0.62,19,0.70,17,0.77,18,0.74,12,0.52
M,159,Ayew,5.5,5.5,Crystal Palace,56,2.74,37,1.38,43,2.24,47,2.06,40,1.93
M,160,Zaha,7.0,7.0,Crystal Palace,82,4.34,82,2.74,81,4.38,78,3.44,75,3.75
M,161,Schlupp,5.0,5.0,Crystal Palace,67,2.48,60,1.69,64,2.42,61,2.04,54,1.94
G,162,Butland,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,2,0.06,1,0.05
M,163,Hughes,5.0,5.0,Crystal Palace,31,1.29,37,1.23,25,1.08,38,1.41,32,1.28
M,164,Riedewald,4.5,4.5,Crystal Palace,4,0.17,4,0.17,10,0.46,6,0.24,5,0.21
D,165,Andersen,4.5,4.5,Crystal Palace,87,3.23,84,1.02,82,3.21,75,2.15,74,2.44
F,166,Edouard,5.5,5.5,Crystal Palace,46,2.64,49,1.95,48,2.76,43,2.16,50,2.67
D,167,Guéhi,4.5,4.5,Crystal Palace,85,3.25,80,1.01,85,3.37,81,2.34,78,2.62
F,168,Mateta,5.5,5.5,Crystal Palace,45,2.58,40,1.67,44,2.56,48,2.33,41,2.26
M,169,Eze,5.5,5.5,Crystal Palace,74,3.65,68,2.27,63,3.17,63,2.63,63,2.89
D,170,Mitchell,4.5,4.5,Crystal Palace,81,3.03,82,1.02,73,2.85,76,2.19,77,2.54
M,171,Olise,5.5,5.5,Crystal Palace,27,1.60,51,1.95,55,3.07,42,2.07,49,2.56
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.5,4.5,Crystal Palace,14,0.86,15,0.70,10,0.62,16,0.85,19,1.05
D,174,Ferguson,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
